estimated,actual,depth
1.0,1.0,6
4.0,4.0,6
23503.0,83401.0,6
11.0,13.0,6
14480.0,0.0,6
14480.0,0.0,6
146421.0,134170.0,6
43444.0,0.0,6
43444.0,0.0,6
67423.0,0.0,6
606865.0,0.0,6
146421.0,134170.0,6
674226.0,0.0,6
3970000.0,1.0,6
146421.0,134170.0,6
606865.0,0.0,6
606865.0,0.0,6
146421.0,134170.0,6
2474.0,0.0,6
24737.0,0.0,6
27832.0,114.0,6
278315.0,54155.0,6
0.0,0.0,6
49544.0,533717.0,6
0.0,0.0,6
5.0,21.0,6
113.0,113.0,6
0.0,0.0,6
0.0,0.0,6
9963.0,1292.0,6
8.0,32.0,6
12.0,12.0,6
608.0,15575.0,6
6076.0,73145.0,6
1350.0,10.0,6
13500.0,73.0,6
0.0,1.0,6
4050.0,16.0,6
40499.0,93.0,6
13536.0,85941.0,6
1.0,1.0,6
42.0,1459.0,6
13.0,151.0,6
1.0,1.0,6
13536.0,85941.0,6
1.0,1.0,6
7.0,7.0,6
0.0,0.0,6
2.0,2.0,6
1687.0,1158.0,6
1.0,1.0,6
0.0,0.0,6
15290.0,53715.0,6
0.0,2.0,6
49.0,39.0,6
0.0,0.0,6
15290.0,136728.0,6
0.0,3.0,6
621.0,64289.0,6
0.0,0.0,6
451.0,1025.0,6
0.0,23.0,6
1.0,1.0,6
5.0,618.0,6
0.0,0.0,6
4512.0,6319.0,6
142.0,19.0,6
1218.0,5.0,6
13.0,108.0,6
12.0,12.0,6
8227.0,16480.0,6
1.0,19.0,6
1.0,1.0,6
113.0,113.0,6
41134.0,102516.0,6
1.0,21.0,6
1.0,1.0,6
261.0,26858.0,6
1.0,1.0,6
1.0,3884.0,6
13.0,240.0,6
1.0,1.0,6
501.0,23113.0,6
0.0,0.0,6
17.0,189.0,6
0.0,6.0,6
0.0,0.0,6
212.0,26861.0,6
0.0,0.0,6
1.0,1.0,6
6.0,4011.0,6
1.0,2.0,6
23.0,43896.0,6
0.0,0.0,6
1.0,1.0,6
113.0,16.0,6
177.0,0.0,6
14.0,22.0,6
0.0,0.0,6
4.0,38.0,6
0.0,0.0,6
1.0,7367.0,6
0.0,1.0,6
4.0,4.0,6
16.0,3.0,6
1.0,1.0,6
0.0,1.0,6
4.0,4.0,6
18156.0,683.0,6
4539.0,1235.0,6
30360.0,1.0,6
1.0,1.0,6
14642.0,0.0,6
9108.0,2315.0,6
0.0,1.0,6
11.0,1.0,6
0.0,135.0,6
0.0,0.0,6
9108.0,2315.0,6
0.0,1.0,6
11.0,1.0,6
113.0,113.0,6
12180.0,459925.0,6
2620000.0,2610000.0,6
0.0,1.0,6
2620000.0,2610000.0,6
0.0,1.0,6
4520000.0,4520000.0,6
73210.0,8.0,6
337.0,426.0,6
13.0,77.0,6
0.0,1.0,6
25905.0,48144.0,6
1.0,0.0,6
1.0,1.0,6
1.0,1.0,6
2980000.0,2730000.0,6
262314.0,1130000.0,6
5504.0,137473.0,6
5.0,0.0,6
1.0,1.0,6
9963.0,1292.0,6
3.0,0.0,6
1.0,1.0,6
441140.0,32288.0,7
0.0,0.0,7
12.0,0.0,7
3373.0,1158.0,7
0.0,0.0,7
0.0,4.0,7
4.0,4.0,7
789.0,6946.0,7
2629.0,781596.0,7
0.0,0.0,7
18.0,18.0,7
10119.0,28887.0,7
1.0,9.0,7
1.0,1.0,7
6.0,386.0,7
50.0,5139.0,7
1.0,0.0,7
11.0,1.0,7
137633.0,10.0,7
0.0,0.0,7
4.0,4.0,7
12.0,4535.0,7
50.0,39575.0,7
2.0,0.0,7
11.0,1.0,7
137633.0,459925.0,7
4.0,4.0,7
25.0,73.0,7
113.0,113.0,7
25995.0,64.0,7
4.0,4.0,7
137.0,83390.0,7
113.0,113.0,7
45873.0,454230.0,7
0.0,0.0,7
0.0,1.0,7
778.0,4.0,7
0.0,0.0,7
5.0,11.0,7
113.0,113.0,7
45873.0,454230.0,7
0.0,0.0,7
1.0,2.0,7
19.0,328.0,7
0.0,1.0,7
