label,query,join_buffer_size_bytes,optimistic_count,spill_count,duration_s
1.5MB,11c,1572864,1,0,6.797828383
1.5MB,32a,1572864,1,0,0.279167719
1.5MB,28b,1572864,1,0,18.809986872
1.5MB,33b,1572864,1,0,6.088962258
1.5MB,9c,1572864,2,1,42.274393217
1.5MB,26a,1572864,2,1,70.454959827
1.5MB,10c,1572864,2,1,43.258138261
1.5MB,10a,1572864,2,0,34.728454498
1.5MB,29a,1572864,2,0,42.726050537
1.5MB,16a,1572864,1,0,0.284181566
1.5MB,19a,1572864,2,1,56.149060086
1.5MB,14c,1572864,1,0,29.467619979
1.5MB,6c,1572864,2,0,4.026872916
1.5MB,15d,1572864,1,0,15.425181069
1.5MB,22b,1572864,3,0,19.024362452
1.5MB,15b,1572864,1,0,17.660539214
1.5MB,28a,1572864,1,0,22.690351816
1.5MB,9a,1572864,2,1,42.431227141
1.5MB,12c,1572864,0,0,18.895316589
1.5MB,5a,1572864,1,0,15.129061112
1.5MB,29b,1572864,1,0,47.922771257
1.5MB,31b,1572864,2,0,47.661951239
1.5MB,6d,1572864,2,0,3.979274161
1.5MB,19b,1572864,2,1,45.754558716
1.5MB,24a,1572864,2,1,54.630661087
1.5MB,33c,1572864,1,0,6.255771109
1.5MB,1c,1572864,0,0,3.496469923
1.5MB,8c,1572864,2,1,135.698053687
1.5MB,16b,1572864,1,0,0.285892085
1.5MB,13b,1572864,3,0,23.449072353
1.5MB,6f,1572864,2,2,57.757704947
1.5MB,1b,1572864,0,0,3.645430667
1.5MB,20a,1572864,1,1,901.404441168
1.5MB,16c,1572864,1,0,0.272624494
1.5MB,13d,1572864,1,0,70.409224801
1.5MB,30b,1572864,1,0,35.720888559
1.5MB,21c,1572864,1,0,1.946157152
